id,user_id,track_id,listened_at,device,platform,completed,quality
2315,78,11,2023-01-01 23:18:56,mobile,ios,true,high
2710,8,31,2023-01-02 01:40:58,tablet,ios,true,lossless
1799,57,9,2023-01-02 08:54:15,mobile,android,false,normal
4102,17,1,2023-01-02 10:55:35,mobile,windows,true,normal
3408,69,15,2023-01-02 11:35:18,mobile,web,false,normal
98,52,33,2023-01-03 00:54:53,desktop,android,true,normal
1338,54,10,2023-01-03 03:07:39,smart_speaker,ios,true,normal
2912,72,35,2023-01-03 03:34:30,mobile,macos,true,normal
3818,79,14,2023-01-03 15:11:01,desktop,android,true,normal
1235,49,37,2023-01-03 20:34:43,mobile,android,true,normal
3948,39,29,2023-01-04 04:07:37,mobile,android,true,high
2124,20,4,2023-01-04 11:49:07,mobile,ios,true,high
14,22,25,2023-01-04 14:21:29,tv,ios,true,normal
3418,53,36,2023-01-04 19:44:06,mobile,android,true,normal
369,63,21,2023-01-05 02:12:11,tablet,web,true,lossless
105,65,18,2023-01-05 05:38:23,mobile,ios,true,lossless
507,43,16,2023-01-05 12:04:48,mobile,ios,true,high
3215,47,16,2023-01-05 13:34:37,mobile,android,true,high
2566,65,9,2023-01-05 17:36:11,tablet,ios,false,normal
3387,9,29,2023-01-05 19:30:49,mobile,windows,false,normal
2198,64,34,2023-01-06 11:40:26,mobile,ios,true,high
2679,25,30,2023-01-06 12:57:31,mobile,windows,true,normal
2546,52,12,2023-01-06 16:47:57,mobile,web,false,lossless
27,36,3,2023-01-06 18:11:34,mobile,ios,false,normal
2545,13,3,2023-01-06 22:04:43,mobile,web,true,high
3341,21,13,2023-01-06 23:42:19,mobile,web,true,high
4054,73,29,2023-01-07 01:50:30,tablet,android,false,high
1002,75,14,2023-01-07 15:49:05,mobile,android,true,normal
3102,30,2,2023-01-08 06:07:30,desktop,ios,true,high
1436,37,2,2023-01-08 11:15:11,smart_speaker,ios,false,normal
618,59,26,2023-01-08 11:25:07,mobile,android,true,normal
1868,68,1,2023-01-08 11:46:32,mobile,ios,true,high
4492,64,30,2023-01-08 14:25:00,mobile,android,false,high
1886,15,19,2023-01-08 14:40:28,smart_speaker,web,false,normal
4186,47,32,2023-01-08 20:46:53,tablet,ios,true,normal
1420,77,35,2023-01-09 00:57:22,mobile,web,false,normal
195,61,29,2023-01-09 09:46:43,smart_speaker,ios,true,normal
1258,77,12,2023-01-09 12:29:35,desktop,web,true,normal
1630,61,5,2023-01-09 22:52:25,mobile,ios,true,high
1005,59,18,2023-01-10 06:26:22,mobile,ios,true,normal
1294,46,28,2023-01-10 06:37:14,mobile,windows,true,normal
1751,24,32,2023-01-11 08:58:55,mobile,macos,true,normal
308,63,2,2023-01-11 12:31:35,mobile,android,true,high
627,64,40,2023-01-11 12:56:54,desktop,android,true,normal
330,18,20,2023-01-11 18:18:20,smart_speaker,ios,true,high
2721,37,31,2023-01-11 22:47:26,desktop,ios,true,high
3960,25,40,2023-01-12 14:12:50,mobile,ios,true,lossless
558,69,35,2023-01-12 15:18:14,desktop,ios,true,normal
162,42,8,2023-01-13 06:11:30,mobile,android,true,high
3899,51,32,2023-01-13 09:47:39,tablet,ios,true,high
1051,41,23,2023-01-13 12:36:59,tablet,windows,true,normal
2853,24,8,2023-01-13 13:04:12,mobile,ios,true,high
2665,3,35,2023-01-13 13:15:15,desktop,windows,false,lossless
1591,72,3,2023-01-13 15:09:54,mobile,android,false,normal
1299,44,28,2023-01-13 17:20:19,mobile,ios,true,high
377,57,1,2023-01-13 18:35:39,desktop,web,false,normal
2924,13,15,2023-01-14 08:14:46,desktop,android,true,lossless
1147,70,17,2023-01-14 12:09:57,desktop,ios,true,lossless
3060,55,17,2023-01-14 23:22:35,mobile,web,true,normal
2043,75,34,2023-01-15 00:13:52,mobile,web,true,normal
1319,28,38,2023-01-15 00:22:26,tablet,web,true,high
4461,55,2,2023-01-15 00:34:29,mobile,ios,true,high
3288,20,39,2023-01-15 09:00:13,desktop,android,true,high
3893,72,25,2023-01-15 10:04:28,smart_speaker,android,true,high
3516,24,21,2023-01-15 11:08:51,mobile,web,true,normal
118,59,17,2023-01-15 20:21:41,tablet,android,true,high
1939,12,5,2023-01-16 05:36:02,desktop,web,true,lossless
1152,17,20,2023-01-16 06:56:22,mobile,web,true,normal
636,20,31,2023-01-16 09:13:08,mobile,android,false,high
1271,29,18,2023-01-16 13:43:54,mobile,macos,true,lossless
2837,66,26,2023-01-16 15:34:28,mobile,ios,false,lossless
3868,40,19,2023-01-17 04:37:21,mobile,android,true,normal
3128,68,23,2023-01-17 06:52:59,mobile,ios,true,normal
4016,27,38,2023-01-17 10:21:21,desktop,ios,true,high
1657,3,11,2023-01-17 11:10:59,mobile,android,true,high
3267,4,29,2023-01-17 12:54:33,mobile,windows,true,normal
3980,6,37,2023-01-17 15:58:12,tv,web,true,normal
4316,70,33,2023-01-17 16:14:40,desktop,ios,false,high
1115,53,15,2023-01-17 17:26:26,mobile,android,true,high
2263,68,1,2023-01-17 19:52:43,smart_speaker,ios,true,high
1644,48,12,2023-01-17 19:53:48,mobile,android,true,high
1281,71,32,2023-01-17 20:43:35,smart_speaker,android,true,high
2760,59,24,2023-01-17 21:09:17,mobile,android,true,high
1431,2,21,2023-01-18 04:25:10,desktop,ios,true,normal
3879,12,1,2023-01-18 12:40:27,mobile,ios,true,high
3232,7,19,2023-01-18 19:35:22,desktop,windows,true,high
2891,44,37,2023-01-18 21:24:05,tablet,ios,true,high
442,43,29,2023-01-18 22:51:34,mobile,ios,true,normal
4017,45,27,2023-01-18 23:18:46,tablet,android,true,high
1411,4,28,2023-01-19 04:10:20,desktop,android,true,high
1252,57,24,2023-01-19 06:34:10,mobile,ios,true,high
796,17,9,2023-01-19 06:34:55,mobile,ios,true,normal
1148,52,38,2023-01-19 17:19:05,mobile,android,true,normal
3999,75,31,2023-01-19 18:56:53,smart_speaker,ios,true,high
417,18,8,2023-01-19 19:47:11,mobile,web,true,normal
1734,19,38,2023-01-19 23:52:47,mobile,web,true,lossless
1739,64,30,2023-01-20 04:52:41,tablet,web,true,high
743,80,17,2023-01-20 05:08:18,mobile,windows,true,normal
1549,33,39,2023-01-20 10:02:08,mobile,android,true,normal
393,23,8,2023-01-20 22:11:03,desktop,web,true,lossless
2843,58,24,2023-01-21 00:26:09,mobile,ios,true,high
3219,52,7,2023-01-21 00:42:38,mobile,android,true,normal
4073,43,27,2023-01-21 01:17:19,tablet,android,true,normal
2607,63,37,2023-01-21 12:28:22,desktop,android,true,lossless
4128,51,14,2023-01-21 17:44:37,mobile,web,true,high
3613,34,16,2023-01-21 21:18:28,mobile,android,true,high
1186,30,33,2023-01-21 21:32:59,mobile,android,false,normal
1333,3,8,2023-01-22 07:15:26,desktop,android,true,normal
2510,46,29,2023-01-22 09:47:21,smart_speaker,ios,true,high
1309,15,7,2023-01-22 11:20:26,desktop,web,true,normal
2186,27,8,2023-01-22 15:00:25,mobile,ios,true,normal
3412,2,19,2023-01-22 22:36:57,desktop,ios,true,high
4310,69,17,2023-01-23 03:27:45,mobile,web,true,normal
1632,29,23,2023-01-23 04:47:07,smart_speaker,ios,false,high
1652,47,34,2023-01-23 06:20:27,smart_speaker,android,false,high
4286,19,31,2023-01-23 09:59:31,tablet,ios,true,normal
4141,39,10,2023-01-24 06:16:29,mobile,web,true,high
3163,21,37,2023-01-24 06:54:13,mobile,windows,true,normal
